"Source:","/Users/mwolfs/dev/rhizomatic-sublime/PCB/2018-03-08 Intercourse/2018-03-08 Intercourse 01.sch"
"Date:","2019 May 27, Monday 12:18:52"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/7n/kqz_8qv124v8cr469zvjl1bw0000gp/T/AppTranslocation/C6E06080-FB91-4960-B96D-37830AD4FA9C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","49"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"AE1, ","1","Antenna_Dipole","Antenna_Dipole","MyAntennas:AN91445_47_mils","Dipole antenna",""
"C1, ","1","DMF3","DMF3","Murata_DMF3Z:Murata_DMF3Z","",""
"C2, C4, C11, C8, ","4","10μF","C_Small","Capacitors_SMD:C_0805_HandSoldering","",""
"C3, ","1","1μF","C_Small","Capacitors_SMD:C_0805_HandSoldering","",""
"C5, ","1","2.2μF","C_Small","Capacitors_SMD:C_0805_HandSoldering","",""
"C7, C6, ","2","10pF","C_Small","Capacitors_SMD:C_0603_HandSoldering","",""
"C9, ","1","1μF","C_Small","Capacitors_SMD:C_0603_HandSoldering","",""
"C10, ","1","5.6pF","C_Small","Capacitors_SMD:C_0603_HandSoldering","",""
"C12, ","1","0.1μF","C_Small","Capacitors_SMD:C_0603_HandSoldering","",""
"C14, C13, ","2","?","C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","Unpolarized capacitor, small symbol",""
"D5, D4, D3, D2, D1, ","5","LED","LED","LEDs:LED_0805_HandSoldering","",""
"J1, ","1","USB_C_Receptacle","USB_C_Receptacle","Connectors_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","",""
"J2, ","1","TP_RST","TEST_1P","C_Connectors:C_Connector_2mm","",""
"J3, ","1","TP_TX","TEST_1P","C_Connectors:C_Connector_2mm","",""
"J4, ","1","TP_RX","TEST_1P","C_Connectors:C_Connector_2mm","",""
"J5, ","1","TP_GPIO0","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","",""
"J6, ","1","TP_GND1","TEST_1P","C_Connectors:C_Connector_2mm","",""
"J7, ","1","TP_GND2","TEST_1P","C_Connectors:C_Connector_2mm","",""
"J8, ","1","TP_GND3","TEST_1P","C_Connectors:C_Connector_2mm","",""
"L1, ","1","4.7μH","L","C_Connectors:LQH3NPN4R7MJRL","",""
"R1, R6, ","2","12K","R","Resistors_SMD:R_0805_HandSoldering","",""
"R2, ","1","17K","R","Resistors_SMD:R_0805_HandSoldering","",""
"R3, ","1","33K","R","Resistors_SMD:R_0805_HandSoldering","",""
"R5, R4, ","2","10K","R","Resistors_SMD:R_0805_HandSoldering","",""
"R7, ","1","200","R","Resistors_SMD:R_0805_HandSoldering","",""
"R12, R11, R10, R9, R8, ","5","?","R_Small","Resistors_SMD:R_0805_HandSoldering","",""
"R13, R14, R15, ","3","1000","R","Resistors_SMD:R_0805_HandSoldering","",""
"U1, ","1","LTC3225","LTC3225","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm","",""
"U2, ","1","TPS61221DCKR","TPS61221DCKR","sc_70-6:sc_70-6","",""
"U3, ","1","W25Q32FVSSIG","W25Q32FVSSIG","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","",""
"U4, ","1","ESP8266EX","ESP8266EX","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","",""
"Y1, ","1","26 MHz","Crystal_GND24_Small","Crystals:Crystal_SMD_Abracon_ABM8G-4pin_3.2x2.5mm","",""
